Country,index,Population,Density,Date to reach 1%,total_cases,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,reproduction_rate,total_deaths,positive_rate,mortality_rate,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Iran,35,84176929,52,2020-11-22,854361.0,5828307.0,3.1,0.2,0.798,1.5,,Asia,0.7,44802.0,0.113,0.05243919139567466,1.0,7295000,2020-02-20,32.427908,53.688046,2020-03-15,Full,21011.28831,5.1,86.8
Iraq,36,40372771,93,2020-10-12,405437.0,2507551.0,5.0,2.5,0.685,1.4,94.576,Asia,0.78,9912.0,0.02,0.02444769470965896,1.0,14000,2020-02-25,33.223191,43.679291,2020-03-22,Full,17435.85393,4.34,79.7
Ireland,37,4947267,72,2020-10-18,49962.0,1439601.0,3.9,0.2,0.938,2.96,,Europe,0.74,1852.0,0.023,0.03706817181057604,3.0,10926000,2020-03-01,53.41291,-8.24389,2020-03-12,Full,83203.39468,8.52,
Israel,38,8678517,400,2020-08-11,86932.0,1994538.0,7.7,0.5,0.903,2.99,,Asia,0.54,692.0,0.017,0.007960244789030506,3.0,4121000,2020-02-22,31.046051,34.851612,2020-03-12,Full,39919.16965,7.61,
Italy,39,60446035,206,2020-10-29,616595.0,15353490.0,6.1,2.0,0.88,3.18,,Europe,0.78,38122.0,0.048,0.06182664471816995,3.0,61567200,2020-02-01,41.87194,12.56738,2020-03-11,Full,41830.42633,8.04,99.2
Jordan,40,10220604,115,2020-11-07,104802.0,2017631.0,4.0,0.1,0.735,1.4,,Asia,0.78,1181.0,0.039,0.011268868914715367,1.0,4150000,2020-03-04,30.585164,36.238414,2020-03-21,Full,9478.904588,6.84,97.9
Kazakhstan,41,18815231,7,2020-12-16,188837.0,5085996.0,24.8,0.1,0.8,6.7,98.999,Asia,1.03,2613.0,0.021,0.013837330607878753,4.0,8789000,2020-03-14,48.019573,66.923684,2020-03-19,Partial,27879.75195,6.9,99.8
Kuwait,42,4281320,240,2020-06-26,43703.0,372284.0,4.6,,0.803,2.0,,Asia,0.71,341.0,0.037,0.007802668009061163,1.0,8508000,2020-02-25,29.31166,47.481766,2020-03-16,Partial,72897.56235,6.19,96.2
Kyrgyzstan,43,6542426,34,2020-11-13,65454.0,,,1.4,0.672,4.5,89.22,Asia,0.82,1195.0,,0.018257096586916002,2.0,14000,2020-03-19,41.20438,74.766098,2020-03-24,Partial,,,99.5
Latvia,44,1882408,30,2020-12-03,19307.0,650021.0,8.4,0.7,0.847,5.57,,Europe,1.04,235.0,0.075,0.012171751178329103,3.0,1946000,2020-03-03,56.879635,24.603189,2020-03-13,Full,30304.8525,8.29,99.9
