Country,index,Population,Density,Date to reach 1%,total_cases,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,reproduction_rate,total_deaths,positive_rate,mortality_rate,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Jamaica,70,2963429,273,2021-03-13,29912.0,243363.0,2.4,,0.734,1.7,66.425,North America,0.5,484.0,0.007,0.01618079700454667,2.0,2473000.0,2020-03-12,18.109581,-77.297508,2020-03-12,Full,9326.664059,7.2,88.7
Japan,71,126407422,347,2021-08-21,1286077.0,19624796.0,2.0,,0.919,13.05,,Asia,0.42,15612.0,0.002,0.012139242051603442,3.0,31192000.0,2020-01-23,36.204824,138.252924,2020-02-27,Full,42797.45852,8.28,
Jordan,72,10220604,115,2020-11-07,104802.0,2017631.0,1.7,0.1,0.729,1.4,,Asia,0.03,1181.0,0.0,0.011268868914715367,1.0,4150000.0,2020-03-04,30.585164,36.238414,2020-03-21,Full,9478.904588,6.84,97.9
Kazakhstan,73,18815231,7,2020-12-16,188837.0,5085996.0,17.0,0.1,0.825,6.7,98.999,Asia,0.34,2609.0,0.0213,0.013816148318390993,4.0,8789000.0,2020-03-14,48.019573,66.923684,2020-03-19,Partial,27879.75195,6.9,99.8
Kiribati,74,119760,147,2022-02-05,1387.0,,,,0.63,1.9,,Oceania,0.01,1.0,,0.0007209805335255948,2.0,,,,,,,2293.920333,,
Kuwait,75,4281320,240,2020-06-26,43703.0,372284.0,4.6,,0.806,2.0,,Asia,0.38,341.0,0.0,0.007802668009061163,1.0,8508000.0,2020-02-25,29.31166,47.481766,2020-03-16,Partial,72897.56235,6.19,96.2
Kyrgyzstan,76,6542426,34,2020-11-13,65454.0,,,1.4,0.697,4.5,89.22,Asia,0.0,1195.0,,0.018257096586916002,2.0,14000.0,2020-03-19,41.20438,74.766098,2020-03-24,Partial,,,99.5
Laos,77,7293542,32,2021-11-30,73738.0,684833.0,1.1,22.7,0.613,1.5,49.839,Asia,0.42,170.0,0.1019,0.0023054598714367085,2.0,14000.0,2020-03-25,19.85627,102.495496,2020-03-29,Full,,6.2,79.9
Latvia,78,1882408,30,2020-12-03,19307.0,650021.0,2.1,0.7,0.866,5.57,,Europe,0.57,235.0,0.005,0.012171751178329103,3.0,1946000.0,2020-03-03,56.879635,24.603189,2020-03-13,Full,30304.8525,8.29,99.9
Lebanon,79,6819976,667,2020-10-23,68479.0,4069394.0,,,0.744,2.9,,Asia,0.56,559.0,,0.008163086493669593,1.0,1964000.0,2020-02-22,33.854721,35.862285,2020-03-16,Full,13081.10746,6.74,93.9
