Country,index,Population,Density,Date to reach 1%,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Dominican Republic,21,10866667,225,2020-09-22,458581,5.538,1.6,0.736,1.6,55.182,North America,2,6569000,2020-03-02,18.735693,-70.162651,2020-03-17,Full,17748.18532,,91.8
Ecuador,22,17688599,71,2020-11-13,539089,,3.6,0.752,1.5,80.635,South America,2,2535000,2020-03-02,-1.831239,-78.183406,2020-03-24,Partial,11734.38739,6.82,94.5
France,23,65298930,119,2020-10-08,,5.732,,0.901,5.98,,Europe,4,89322000,2020-01-25,46.227638,2.213749,2020-03-16,Full,45342.39574,8.02,
French Polynesia,24,281191,77,2020-10-13,,,,,,,Oceania,2,,2020-03-11,,,,,,,
Georgia,25,3987805,57,2020-11-01,,,4.2,0.78,2.6,,Asia,3,4757000,2020-02-27,42.315407,43.356892,2020-03-22,Partial,12004.57383,7.74,99.8
Germany,26,83830972,240,2020-11-19,,,,0.936,8,,Europe,3,38881000,2020-01-28,51.165691,10.451526,2020-03-20,Full,53074.54012,8.53,
Gibraltar,27,33689,3369,2020-09-18,,,,,,,Europe,3,,2020-03-04,,,,,,,
Guam,28,169031,313,2020-09-09,,,,,,,Oceania,2,,2020-03-11,,,,,,,
Honduras,29,9931333,89,2020-11-06,,,16,0.617,0.7,84.169,North America,2,14000,2020-03-12,15.199999,-86.241905,2020-03-20,Partial,5138.752457,6.81,88.5
Hungary,30,9655983,107,2020-11-06,1167641,3.934,0.5,0.838,7.02,,Europe,3,17552000,2020-03-05,47.162494,19.503304,2020-03-16,Full,31102.50275,7.65,99.1
Iceland,31,341628,3,2020-10-11,151692,21.293,0.2,0.935,2.91,,Europe,3,2343800,2020-02-29,64.963051,-19.020835,2020-03-16,Full,57303.06078,8.41,
Iran,32,84176929,52,2020-11-23,5828307,3.065,0.2,0.798,1.5,,Asia,1,7295000,2020-02-20,32.427908,53.688046,2020-03-15,Full,21011.28831,5.1,86.8
Iraq,33,40372771,93,2020-10-13,2528214,4.885,2.5,0.685,1.4,94.576,Asia,1,14000,2020-02-25,33.223191,43.679291,2020-03-22,Full,17435.85393,4.34,79.7
Ireland,34,4947267,72,2020-10-19,1453791,13.858,0.2,0.938,2.96,,Europe,3,10926000,2020-03-01,53.41291,-8.24389,2020-03-12,Full,83203.39468,8.52,
Israel,35,8678517,400,2020-08-12,2021256,6.682,0.5,0.903,2.99,,Asia,3,4121000,2020-02-22,31.046051,34.851612,2020-03-12,Full,39919.16965,7.61,
Italy,36,60446035,206,2020-10-30,15568575,6.107,2,0.88,3.18,,Europe,3,61567200,2020-02-01,41.87194,12.56738,2020-03-11,Full,41830.42633,8.04,99.2
Jordan,37,10220604,115,2020-11-08,2040687,3.927,0.1,0.735,1.4,,Asia,1,4150000,2020-03-04,30.585164,36.238414,2020-03-21,Full,9478.904588,6.84,97.9
Kuwait,38,4281320,240,2020-06-27,375524,4.754,,0.803,2,,Asia,1,8508000,2020-02-25,29.31166,47.481766,2020-03-16,Partial,72897.56235,6.19,96.2
Kyrgyzstan,39,6542426,34,2020-11-13,,,1.4,0.672,4.5,89.22,Asia,2,14000,2020-03-19,41.20438,74.766098,2020-03-24,Partial,,,99.5
Lebanon,40,6819976,667,2020-10-24,,,,0.757,2.9,,Asia,1,1964000,2020-02-22,33.854721,35.862285,2020-03-16,Full,13081.10746,6.74,93.9
